iata_code	name	timezone
ACX	Xingyi Wanfenglin Airport	Asia/Shanghai
ACY	Atlantic City International Airport	America/New_York
ACZ	Zabol	Asia/Tehran
ADA	Adana Şakirpaşa Airport	Europe/Istanbul
ADB	İzmir Adnan Menderes International Airport	Europe/Istanbul
ADC	Andakombe Airport	Pacific/Port_Moresby
ADD	Addis Ababa Bole International Airport	Africa/Addis_Ababa
ADE	Aden International Airport	Asia/Aden
ADF	Adiyaman Airport	Europe/Istanbul
ADG	Lenawee County Airport	America/Detroit
ADH	Aldan Airport	Asia/Yakutsk
ADI	Arandis Airport	Africa/Windhoek
ADJ	Amman Civil Airport	Asia/Amman
ADK	Adak Airport	America/Adak
ADL	Adelaide Airport	Australia/Adelaide
ADM	Ardmore Municipal Airport	America/Chicago
ADN	Andes Airport	America/Bogota
ADO	Andamooka Airport	Australia/Adelaide
ADP	Ampara Airport	Asia/Colombo
ADQ	Kodiak	America/Anchorage
ADR	Robert F. Swinnie Airport	America/New_York
ADS	Addison Airport	America/Chicago
ADT	Ada Municipal Airport	America/Chicago
ADU	Ardabil Airport	Asia/Tehran
ADV	El Daein Airport	Africa/Khartoum
ADW	Joint Base Andrews	America/New_York
ADX	Leuchars	Europe/London
ADY	Alldays Airport	Africa/Johannesburg
ADZ	Gustavo Rojas Pinilla International Airport	America/Bogota
AEA	Abemama Airport	Pacific/Tarawa
AEB	Baise Bama Airport	Asia/Shanghai
AED	Aleneva	America/Anchorage
AEE	Adareil Airport	Africa/Juba
AEG	Aek Godang Airport	Asia/Jakarta
AEH	Abéché	Africa/Ndjamena
AEI	Algeciras Railway Station	Europe/Madrid
AEK	Aseki Airport	Pacific/Port_Moresby
AEL	Albert Lea Municipal Airport	America/Chicago
AEM	Amgu Airport	Asia/Vladivostok
AEO	Aioun el Atrouss Airport	Africa/Nouakchott
AEP	Jorge Newbery Airport	America/Argentina/Buenos_Aires
AEQ	Chifeng Ar Horqin Airport	Asia/Shanghai
AER	Sochi International Airport	Europe/Moscow
AES	Ålesund Airport, Vigra	Europe/Oslo
AET	Allakaket	America/Anchorage
AEU	Abu Musa Airport	Asia/Tehran
AEX	Alexandria International Airport	America/Chicago
AEY	Akureyri Airport	Atlantic/Reykjavik
AFA	"San Rafael ""Santiago Germano"" Airport"	America/Argentina/Mendoza
AFD	Port Alfred Airport	Africa/Johannesburg
AFF	United States Air Force Academy Airstrip	America/Denver
AFI	Amalfi Airport	America/Bogota
AFK	Kondavattavan Tank Sea Plane Base	Asia/Colombo
AFL	Alta Floresta	America/Cuiaba
AFN	Jaffrey Municipal-Silver Ranch Airport	America/New_York
AFO	Afton Municipal Airport	America/Denver
AFP	Anson County Airport	America/New_York
AFR	Afore Airport	Pacific/Port_Moresby
AFS	Zarafshan Airport	Asia/Samarkand
AFT	Afutara Aerodrome	Pacific/Guadalcanal
AFW	Fort Worth Alliance Airport	America/Chicago
AFY	Afyon Airport	Europe/Istanbul
AFZ	Sabzevar Airport	Asia/Tehran
AGA	Agadir–Al Massira Airport	Africa/Casablanca
AGB	Augsburg Airport	Europe/Berlin
AGC	Allegheny County Airport	America/New_York
AGD	Anggi Airport	Asia/Jayapura
AGE	Wangerooge	Europe/Berlin
AGF	Agen-la-Garenne	Europe/Paris
AGG	Angoram	Pacific/Port_Moresby
AGH	Ängelholm–Helsingborg Airport	Europe/Stockholm
AGI	Wageningen Airport Airport	America/Paramaribo
AGJ	Aguni Island	Asia/Tokyo
AGK	Kagua Airport	Pacific/Port_Moresby
AGL	Wanigela Airport	Pacific/Port_Moresby
AGM	Tasiilaq Heliport	America/Nuuk
AGN	Angoon	America/Juneau
AGO	Magnolia Municipal Airport	America/Chicago
AGP	Málaga Airport	Europe/Madrid
AGQ	Agrinion Airport	Europe/Athens
AGR	Agra Airport	Asia/Kolkata
AGS	Augusta Regional Airport	America/New_York
AGT	Guaraní International Airport	America/Asuncion
AGU	Aguascalientes International Airport	America/Mexico_City
AGV	Acarigua	America/Caracas
AGW	Mapoon	Australia/Brisbane
AGX	Agatti Airport	Asia/Kolkata
AGY	Augsburg Hauptbahnhof	Europe/Berlin
AGZ	Aggeneys Airport	Africa/Johannesburg
AHA	Naha Air Base	Asia/Tokyo
AHB	Abha Regional Airport	Asia/Riyadh
AHC	Amedee Army Airfield	America/Los_Angeles
AHD	Ardmore Downtown Executive Airport	America/Chicago
AHE	Ahe Airport	Pacific/Tahiti
AHF	Arapahoe Municipal Airport	America/Chicago
AHH	Amery Municipal Airport	America/Chicago
AHI	Amahai Airport	Asia/Jayapura
AHJ	Hongyuan Airport	Asia/Shanghai
AHL	Aishalton Airport	America/Guyana
AHM	Ashland Municipal Airport-Sumner Parker Field	America/Los_Angeles
AHN	Athens-Ben Epps Airport	America/New_York
AHO	Alghero-Fertilia Airport	Europe/Rome
AHS	Ahuas Airport	America/Tegucigalpa
AHT	Amchitka Air Force Base	America/Adak
AHU	Cherif Al Idrissi Airport	Africa/Casablanca
AHW	Saih Rawl	Asia/Muscat
AHY	Amabatolahy Airport	Indian/Antananarivo
AHZ	Alpe d'Huez Airport	Europe/Paris
AIA	Alliance Municipal Airport	America/Denver
AIB	Anita Bay Seaplane Base	America/Juneau
AIC	Ailinglaplap Airok Airport	Pacific/Kwajalein
AID	Anderson Municipal Airport	America/Indiana/Indianapolis
AIE	Aiome Airport	Pacific/Port_Moresby
AIF	Marcelo Pires Halzhausen State Airport	America/Sao_Paulo
AIG	Yalinga	Africa/Bangui
AIH	Aiambak Airport	Pacific/Port_Moresby
AII	Ali-Sabieh Airport	Africa/Djibouti
AIK	Aiken Municipal Airport	America/New_York
AIL	Ailigandi Airport	America/Panama
AIM	Ailuk Airfield	Pacific/Kwajalein
AIN	Wainwright Airport	America/Anchorage
AIO	Atlantic Municipal Airport	America/Chicago
AIP	Adampur Airport	Asia/Kolkata
AIR	Aripuanã Airport	America/Cuiaba
AIS	Arorae Airport	Pacific/Tarawa
AIT	Aitutaki Airstrip	Pacific/Rarotonga
AIU	Enua Airport	Pacific/Rarotonga
AIV	Aliceville	America/Chicago
AIW	Ai Ais	Africa/Windhoek
AIX	Aix les Bains Bus Station	Europe/Paris
AIY	Atlantic City Municipal Airport-Bader Field	America/New_York
AIZ	Lee C Fine Memorial Airport	America/Chicago
AJA	Ajaccio Napoleon Bonaparte Airport	Europe/Paris
AJF	Al Jouf Domestic Airport	Asia/Riyadh
AJI	Ağrı Airport	Europe/Istanbul
AJJ	Akjoujt	Africa/Nouakchott
AJK	Arak	Asia/Tehran
AJL	Lengpui	Asia/Kolkata
AJN	Ouani Airport	Indian/Comoro
AJO	Aljouf Airport	Asia/Aden
AJR	Arvidsjaur Airport	Europe/Stockholm
AJS	Punta Abreojos	America/Hermosillo
AJU	Aracaju Aeroporto	America/Maceio
AJY	Mano Dayak International Airport	Africa/Niamey
AKA	Ankang Airport	Asia/Shanghai
AKB	Atka Airport	America/Adak
AKC	Akron Fulton International Airport	America/New_York
AKD	Akola Airport	Asia/Kolkata
AKE	Akieni Airport	Africa/Libreville
AKF	Kufra Airport	Africa/Tripoli
AKG	Anguganak Airport	Pacific/Port_Moresby
AKH	Prince Sultan Air Base	Asia/Riyadh
AKI	Akiak	America/Anchorage
AKJ	Asahikawa Airport	Asia/Tokyo
AKK	Akhiok	America/Anchorage
AKL	Auckland International Airport	Pacific/Auckland
AKM	Zakouma	Africa/Ndjamena
AKN	King Salmon	America/Anchorage
AKO	Akron-Washington County Airport	America/Denver
AKP	Anaktuvuk Pass	America/Anchorage
AKQ	Gunung Batin Airport	Asia/Jakarta
AKR	Akure Airport	Africa/Lagos
AKS	Gwaunaru'u Airport	Pacific/Guadalcanal
AKT	Akrotiri Airfield	Asia/Nicosia
AKU	Aksu Airport	Asia/Urumqi
AKV	Akulivik Airport	America/Toronto
AKW	Aghajari	Asia/Tehran
AKX	Aktobe International Airport	Asia/Aqtobe
AKY	Akyab	Asia/Yangon
ALA	Almaty International Airport	Asia/Almaty
ALB	Albany County Airport	America/New_York
ALC	Alicante–Elche Airport	Europe/Madrid
ALD	Alerta Airport	America/Lima
ALE	Alpine – Casparis Municipal Airport	America/Chicago
ALF	Alta Lufthavn	Europe/Oslo
ALG	Algiers Houari Boumediene Airport	Africa/Algiers
ALH	Albany Aerodrome	Australia/Perth
ALI	Alice International Airport	America/Chicago
ALJ	Alexander Bay Airport	Africa/Johannesburg
ALK	Asela	Africa/Addis_Ababa
ALL	Riviera Airport	Europe/Rome
ALM	Alamogordo-White Sands Regional Airport	America/Denver
ALN	Saint Louis Regional Airport	America/Chicago
ALO	Waterloo Municipal Airport	America/Chicago
ALP	Aleppo International Airport	Asia/Damascus
ALQ	Alegrete Novo Airport	America/Sao_Paulo
ALR	Alexandra	Pacific/Auckland
ALS	San Luis Valley Regional Airport	America/Denver
ALT	Alenquer Airport	America/Santarem
ALU	Alula Airport	Africa/Mogadishu
ALV	Andorra la Vella Heliport	Europe/Andorra
ALW	Walla Walla Regional Airport	America/Los_Angeles
ALX	Alexander City	America/Chicago
ALY	Alexandria / Nouzha Airport	Africa/Cairo
ALZ	Alitak Seaplane Base	America/Anchorage
AMA	Rick Husband Amarillo International Airport	America/Chicago
AMB	Ambilobe	Indian/Antananarivo
AMC	Am Timan Airport	Africa/Ndjamena
AMD	Sardar Vallabhbhai Patel International Airport	Asia/Kolkata
AME	Alto Molocue Airport	Africa/Maputo
AMF	Ama	Pacific/Port_Moresby
AMG	Amboin Airport	Pacific/Port_Moresby
AMH	Arba Minch Airport	Africa/Addis_Ababa
AMI	Ampenan Selaparang Airport	Asia/Makassar
AMJ	Cirilo Queiróz Airport	America/Sao_Paulo
AMK	Animas Air Park	America/Denver
AML	Puerto Armuelles Airport	America/Panama
AMM	Queen Alia International Airport	Asia/Amman
AMN	Gratiot Community Airport	America/Detroit
AMO	Mao	Africa/Ndjamena
AMP	Ampanihy Airport	Indian/Antananarivo
AMQ	Ambon Pattimura Airport	Asia/Jayapura
AMR	Almería Railway Station	Europe/Madrid
AMS	Schiphol	Europe/Amsterdam
AMT	Amata Airport	Australia/Adelaide
AMU	Amanab Airport	Pacific/Port_Moresby
AMV	Amderma Airport	Europe/Moscow
AMW	Ames Municipal Airport	America/Chicago
AMX	Ammaroo Airport	Australia/Darwin
AMY	Ambatomainty Airport	Indian/Antananarivo
AMZ	Ardmore Airport	Pacific/Auckland
ANA	Angama Mara	Africa/Nairobi
ANB	Anniston Metropolitan Airport	America/Chicago
ANC	Anchorage	America/Anchorage
AND	Anderson County Airport	America/New_York
ANE	Angers – Loire Airport	Europe/Paris
ANF	Antofagasta	America/Santiago
ANG	Angoulême – Cognac International Airport	Europe/Paris
ANH	Anuha Island Resort	Pacific/Guadalcanal
ANI	Aniak Airport	America/Anchorage
ANJ	Zanaga Airport	Africa/Brazzaville
ANK	Ankara Etimesgut Air Base	Europe/Istanbul
ANL	Andulo Airport	Africa/Luanda
ANM	Antsirabato Airport	Indian/Antananarivo
ANN	Annette Island	America/Metlakatla
ANO	Antonio Enes	Africa/Maputo
ANP	Lee Airport	America/New_York
ANQ	Tri-State Steuben County Airport	America/Indiana/Indianapolis
ANR	Antwerp International Airport	Europe/Brussels
ANS	Andahuaylas Airport	America/Lima
ANT	St Anton Heliport	Europe/Vienna
ANU	Antigua Island	America/Antigua
ANV	Anvik	America/Anchorage
ANW	Ainsworth Municipal Airport	America/Chicago
ANX	Andenes	Europe/Oslo
ANY	Anthony Municipal Airport	America/Chicago
ANZ	Angus Downs Stn	Australia/Darwin
AOA	Aroa	Pacific/Port_Moresby
AOB	Annanberg	Pacific/Port_Moresby
AOC	Altenburg Nobitz	Europe/Berlin
AOD	Abou-Deïa Airport	Africa/Ndjamena
AOE	Eskişehir Anadolu Airport	Europe/Istanbul
AOG	Anshan Teng'ao Airport	Asia/Shanghai
AOH	Lima Allen County Airport	America/New_York
AOI	Ancona Falconara Airport	Europe/Rome
AOJ	Aomori Airport	Asia/Tokyo
AOK	Karpathos Island National Airport	Europe/Athens
AOL	Paso de los Libres Airport	America/Argentina/Cordoba
AOM	Adam Airport	Asia/Muscat
AON	Arona	Pacific/Port_Moresby
AOO	Martinsburg	America/New_York
AOP	Alférez FAP Alfredo Vladimir Sara Bauer Airport	America/Lima
AOQ	Aappilattoq Upernavik Heliport	America/Nuuk
AOR	Sultan Abdul Halim Airport	Asia/Kuala_Lumpur
AOS	Amook Bay Seaplane Base	America/Anchorage
AOT	Aosta Airport	Europe/Rome
AOU	Attapeu International Airport	Asia/Vientiane
APA	Arapahoe County Airport	America/Denver
APB	Apolo Airport	America/La_Paz
APC	Napa County Airport	America/Los_Angeles
APF	Naples Municipal Airport	America/New_York
APG	Phillips Army Airfield	America/New_York
APH	A P Hill Army Airfield (Fort A P Hill)	America/New_York
API	Gomez Nino	America/Bogota
APK	Apataki Airport	Pacific/Tahiti
APL	Nampula Airport	Africa/Maputo
APN	Alpena County Regional Airport	America/Detroit
APO	Antonio Roldán Betancourt Airport	America/Bogota
APP	Asapa	Pacific/Port_Moresby
APQ	Arapiraca Airport	America/Maceio
APR	April River	Pacific/Port_Moresby
APS	Anapolis AFB	America/Sao_Paulo
APT	Marion County	America/Chicago
APU	Apucarana Airport	America/Sao_Paulo
APV	Apple Valley Airport	America/Los_Angeles
APW	Faleolo International Airport	Pacific/Apia
APX	Arapongas Airport	America/Sao_Paulo
APY	Alto Parnaiba	America/Fortaleza
APZ	Zapala Airport	America/Argentina/Salta
AQA	Araraquara Airport	America/Sao_Paulo
AQB	Quiché Airport	America/Guatemala
AQG	Anqing Tianzhushan Airport	Asia/Shanghai
AQI	Al Qaisumah/Hafr Al Batin Airport	Asia/Riyadh
AQJ	Aqaba	Asia/Amman
AQL	Almería Bus Station	Europe/Madrid
AQM	Nova Vida Airport	America/Porto_Velho
AQP	Rodríguez Ballón International Airport	America/Lima
AQS	Saqani Seaplane Base	Pacific/Fiji
AQY	Alyeska	America/Anchorage
ARA	New Iberia	America/Chicago
ARB	Ann Arbor Municipal	America/Detroit
ARC	Arctic Village	America/Anchorage
ARD	Alor Island Airport	Asia/Makassar
ARE	Arecibo	America/Puerto_Rico
ARF	Acaricuara Airport	America/Bogota
ARG	Walnut Ridge Regional Airport	America/Chicago
ARH	Arkhangelsk Talagi Airport	Europe/Moscow
ARI	Chacalluta Arica Airport	America/Santiago
ARJ	Arso Airport	Asia/Jayapura
ARK	Arusha Airport	Africa/Dar_es_Salaam
ARL	Arly Airport	Africa/Ouagadougou
ARM	Armidale Airport	Australia/Sydney
ARN	Arlanda Centralstation	Europe/Stockholm
ARO	Arboletas	America/Bogota
ARP	Aragip Airport	Pacific/Port_Moresby
ARQ	Aeropuerto Arsenio Valderrama	America/Bogota
ARR	D. Casimiro Szlapelis Airport	America/Argentina/Catamarca
ARS	Aragarcas	America/Sao_Paulo
ART	Watertown International Airport	America/New_York
ARU	Araçatuba Airport	America/Sao_Paulo
ARV	Minocqua	America/Chicago
ARW	Arad Airport	Europe/Bucharest
ARX	Asbury Park	America/New_York
ARY	Ararat Airport	Australia/Melbourne
ARZ	N'zeto Airport	Africa/Luanda
ASA	Assab International Airport	Africa/Asmara
ASB	Ashgabat International Airport	Asia/Ashgabat
ASC	Ascención de Guarayos	America/La_Paz
ASD	Andros Town International Airport	America/Nassau
ASE	Aspen–Pitkin County Airport	America/Denver
ASF	Astrakhan/Narimanovo Airport	Europe/Astrakhan
ASG	Ashburton Aerodrome	Pacific/Auckland
ASH	Nashua	America/New_York
ASI	RAF Ascension Island	Atlantic/St_Helena
ASJ	Amami Airport	Asia/Tokyo
ASK	Yamoussoukro Airport	Africa/Abidjan
ASL	Marshall	America/Chicago
ASM	Asmara Airport	Africa/Asmara
ASN	Talladega Municipal Airport	America/Chicago
ASO	Assosa / Asosa	Africa/Addis_Ababa
ASP	Alice Springs Airport	Australia/Darwin
ASQ	Austin Airport	America/Los_Angeles
ASR	Kayseri Erkilet Airport	Europe/Istanbul
ASS	Arathusa Safari Lodge	Africa/Johannesburg
AST	Astoria Regional Airport	America/Los_Angeles
ASU	Silvio Pettirossi International Airport	America/Asuncion
ASV	Amboseli Airport	Africa/Nairobi
ASW	Aswan International Airport	Africa/Cairo
ASX	John F Kennedy Memorial Airport	America/Chicago
ASY	Ashley Municipal Airport	America/Chicago
ASZ	Asirim	Pacific/Port_Moresby
ATA	Anta Huaraz	America/Lima
ATB	Atbara Airport	Africa/Khartoum
ATC	Arthur's Town Airport	America/Nassau
ATD	Uru Harbour Airport	Pacific/Guadalcanal
ATE	Antlers Municipal Airport	America/Chicago
ATF	Ambato / Chachoan	America/Guayaquil
ATG	Attock	Asia/Karachi
ATH	Athens Eleftherios Venizelos International Airport	Europe/Athens
ATI	Artigas International Airport	America/Montevideo
ATJ	Antsirabe Airport	Indian/Antananarivo
ATK	Atqasuk	America/Anchorage
ATL	Hartsfield-Jackson Atlanta International Airport	America/New_York
ATM	Altamira	America/Santarem
ATN	Namatanai Airport	Pacific/Port_Moresby
ATO	Ohio University Airport-Snyder Field	America/New_York
ATP	Aitape Airport	Pacific/Port_Moresby
ATQ	Sri Guru Ram Dass Jee International Airport	Asia/Kolkata
ATR	Atar Airport	Africa/Nouakchott
ATS	Artesia Municipal Airport	America/Denver
ATT	Atmautluak Airport	America/Nome
ATU	Casco Cove Coast Guard Station	America/Adak
ATV	Ati	Africa/Ndjamena
ATW	Appleton International Airport	America/Chicago
ATX	Atbasar Airport	Asia/Almaty
ATY	Watertown Municipal Airport	America/Chicago
ATZ	Assiut Airport	Africa/Cairo
AUA	Aruba Island	America/Aruba
AUB	Augsburg Bus Station	Europe/Berlin
AUC	Aeropuerto Santiago Pérez Quiróz	America/Bogota
AUD	Augustus Downs Airport	Australia/Brisbane
AUE	Abu Rudeis Airfield	Africa/Cairo
AUF	Auxerre-Branches	Europe/Paris
AUG	Augusta	America/New_York
AUH	Abu Dhabi International Airport	Asia/Dubai
AUI	Aua Island Airport	Pacific/Port_Moresby
AUJ	Ambunti Airport	Pacific/Port_Moresby
AUK	Alakanuk	America/Nome
AUL	Aur Atoll	Pacific/Majuro
AUM	Austin Municipal Airport	America/Chicago
AUN	Auburn Municipal Airport	America/Los_Angeles
AUO	Auburn-Opelika Robert G Pitts Airport	America/Chicago
AUP	Agaun Airport	Pacific/Port_Moresby
AUQ	Atuona Airport	Pacific/Marquesas
AUR	Aurillac Airport	Europe/Paris
AUS	Austin-Bergstrom International Airport	America/Chicago
AUT	Atauro Airport	Asia/Dili
AUU	Aurukun Airport	Australia/Brisbane
AUV	Aumo Airport	Pacific/Port_Moresby
AUW	Wausau Municipal Airport	America/Chicago
AUX	Araguaína Airport	America/Araguaina
AUY	Mystery Island	Pacific/Efate
AUZ	Chicago/Aurora Municipal Airport	America/Chicago
AVA	Anshun Huangguoshu Airport	Asia/Shanghai
AVB	Aviano Airport	Europe/Rome
AVF	Avoriaz	Europe/Paris
AVG	Auvergne Airport	Australia/Darwin
AVI	Máximo Gómez Airport	America/Havana
AVJ	Ávila Bus Station	Europe/Madrid
AVK	Arvaikheer Airport	Asia/Ulaanbaatar
AVL	Asheville	America/New_York
AVN	Avignon-Caumont	Europe/Paris
AVO	Avon Park Executive Airport	America/New_York
AVP	Wilkes-Barre/Scranton International Airport	America/New_York
AVR	Alverca Airport	Europe/Lisbon
AVS	Ávila Railway Station	Europe/Madrid
AVU	Avu Avu	Pacific/Guadalcanal
AVV	Avalon Airport	Australia/Melbourne
AVW	Marana Regional Airport	America/Phoenix
AVX	Santa Catalina Island	America/Los_Angeles
AWA	Awassa Airport	Africa/Addis_Ababa
AWB	Awaba	Pacific/Port_Moresby
AWD	Aniwa Airport	Pacific/Efate
AWE	Alowe	Africa/Libreville
AWH	Awareh Airport	Africa/Addis_Ababa
AWK	Wake Island Airfield	Pacific/Wake
AWM	West Memphis Municipal Airport	America/Chicago
AWN	Alton Downs	Australia/Adelaide
AWP	Austral Downs Airport	Australia/Darwin
AWR	Awar Airport	Pacific/Port_Moresby
AWZ	Ahwaz International Airport	Asia/Tehran
AXA	Anguilla	America/Anguilla
AXB	Alexandria Bay	America/New_York
AXC	Aramac Airport	Australia/Brisbane
AXD	Alexandroupoli Airport	Europe/Athens
AXE	Xanxere	America/Sao_Paulo
AXF	Alxa Left Banner	Asia/Shanghai
AXG	Algona Municipal Airport	America/Chicago
AXI	Algeciras San Bernardo Bus Station	Europe/Madrid
AXJ	Amakusa Airfield	Asia/Tokyo
AXK	Ataq Airport	Asia/Aden
AXL	Alexandria Homestead Airport	Australia/Darwin
AXM	Armenia / El Eden	America/Bogota
AXN	Chandler Field	America/Chicago
AXO	Pantar Airport	Asia/Makassar
AXP	Spring Point Airport	America/Nassau
AXR	Arutua Airport	Pacific/Tahiti
AXS	Altus Municipal Airport	America/Chicago
AXT	Akita Airport	Asia/Tokyo
AXU	Axum Airport	Africa/Addis_Ababa
AXV	Wapakoneta	America/New_York
AXX	Angel Fire	America/Denver
AYA	Ayapel	America/Bogota
AYC	Ayacucho	America/Bogota
AYD	Alroy Downs Airport	Australia/Darwin
AYE	Fort Devens	America/New_York
AYG	Yaguara Airport	America/Bogota
AYH	Alconbury Royal Air Force Base	Europe/London
AYI	Yari	America/Bogota
AYK	Arkalyk North Airport	Asia/Qostanay
AYL	Anthony Lagoon Airport	Australia/Darwin
AYM	Yas Island Seaplane Base	Asia/Dubai
AYN	Anyang Airport	Asia/Shanghai
AYO	Juan de Ayolas Airport	America/Asuncion
AYP	Coronel FAP Alfredo Mendívil Duarte Airport	America/Lima
AYQ	Uluru	Australia/Darwin
AYR	Ayr Airport	Australia/Brisbane
AYS	Waycross-Ware County Airport	America/New_York
AYT	Antalya Airport	Europe/Istanbul
AYU	Aiyura Airport	Pacific/Port_Moresby
AYW	Ayawasi Airport	Asia/Jayapura
AYX	Lieutenant General Gerardo Pérez Pinedo Airport	America/Lima
AYY	Arugam Bay Lagoon Waterdrome	Asia/Colombo
AZA	Phoenix-Mesa Gateway Airport	America/Phoenix
AZB	Amazon Bay	Pacific/Port_Moresby
AZD	Yazd Airport	Asia/Tehran
AZG	Apatzingán	America/Mexico_City
AZI	Abu Dhabi Bateen Airport	Asia/Dubai
AZJ	Zhenjiang Dalu Airport	Asia/Shanghai
AZL	Fazenda Tucunare	America/Cuiaba
AZM	Estrada Ilha Verde Bus Station	Asia/Macau
AZN	Andizhan Airport	Asia/Tashkent
AZO	Kalamazoo-Battle Creek International Airport	America/Detroit
AZP	Atizapán-Jimenez Cantu Airport	America/Mexico_City
AZQ	Chaoyang Railway Station	Asia/Shanghai
AZR	Touat-Cheikh Sidi Mohamed Belkebir Airport	Africa/Algiers
AZS	Samaná El Catey International Airport	America/Santo_Domingo
AZT	Zapatoca	America/Bogota
AZZ	Ambriz Airport	Africa/Luanda
BAA	Bialla Airport	Pacific/Port_Moresby
BAB	Beale Air Force Base	America/Los_Angeles
BAC	Barranca De Upia	America/Bogota
BAD	Barksdale Air Force Base	America/Chicago
BAE	Barcelonnette – Saint-Pons Airport	Europe/Paris
BAF	Westfield	America/New_York
BAG	Baguio-Loakan Airport	Asia/Manila
BAH	Kingdom of Bahrain	Asia/Bahrain
BAI	Buenos Aires Airport	America/Costa_Rica
BAJ	Bali	Pacific/Port_Moresby
BAK	Baku	Asia/Baku
BAL	Batman Airport	Europe/Istanbul
BAM	Battle Mountain Airport	America/Los_Angeles
BAN	Basongo Airport	Africa/Lubumbashi
BAO	Baia Mare Railway Station	Europe/Bucharest
BAP	Baibara	Pacific/Port_Moresby
BAQ	Ernesto Cortissoz International Airport	America/Bogota
BAR	Qionghai Bo'ao Airport	Asia/Shanghai
BAS	Balalae Airport	Pacific/Guadalcanal
BAT	Chafei Amsei Airport	America/Sao_Paulo
BAU	Bauru Airport	America/Sao_Paulo
BAV	Baotou Donghe Airport	Asia/Shanghai
BAW	Biawonque	Africa/Libreville
BAX	Barnaul Airport	Asia/Barnaul
BAY	Baia Mare International Airport	Europe/Bucharest
BAZ	Barcelos Airport	America/Manaus
BBA	Balmaceda Airport	America/Santiago
BBB	Benson Municipal Airport	America/Chicago
BBC	Bay City	America/Chicago
BBD	Brady Curtis Field	America/Chicago
BBE	Bus Station 2 de Febrero (0074)	America/Argentina/Buenos_Aires
BBF	Burlington	America/New_York
BBG	Butaritari Airport	Pacific/Tarawa
BBH	Stralsund Barth Airport	Europe/Berlin
BBI	Biju Patnaik International Airport	Asia/Kolkata
BBJ	Bitburg Airport	Europe/Berlin
